,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"/award/award_winner/awards_won./award/award_honor/award
","/award/award_category/disciplines_or_subjects
/award/award_category/winners./award/award_honor/award_winner","/award/award_category/winners./award/award_honor/award_winner
/award/award_category/disciplines_or_subjects","/award/award_category/winners./award/award_honor/award_winner
/award/award_category/presenting_organization",,,,,,,,,,,,,,,
"/organization/organization_member/member_of./organization/organization_membership/organization
","/organization/membership_organization/members./organization/organization_membership/member
/organization/organization/headquarters./location/mailing_address/citytown","/organization/membership_organization/members./organization/organization_membership/member
/user/ktrueman/default_domain/international_organization/member_states","/user/ktrueman/default_domain/international_organization/member_states
/organization/membership_organization/members./organization/organization_membership/member
/organization/organization/headquarters./location/mailing_address/citytown",,,,,,,,,,,,,,,
"/music/artist/label
","/organization/organization/place_founded
/music/record_label/artist
/organization/organization/headquarters./location/mailing_address/state_province_region","/music/record_label/artist
/organization/organization/parent./organization/organization_relationship/parent","/music/record_label/artist
/organization/organization/product_of_merger./organization/organization_merger/organizations_merging","/organization/organization/parent./organization/organization_relationship/parent
/music/record_label/artist","/music/record_label/artist
/people/person/religion","/music/record_label/artist
/organization/organization/parent./organization/organization_relationship/parent
/organization/organization/headquarters./location/mailing_address/citytown","/music/record_label/artist
/organization/organization/headquarters./location/mailing_address/state_province_region
/organization/organization/headquarters./location/mailing_address/citytown","/music/record_label/artist
/organization/organization/headquarters./location/mailing_address/citytown",,,,,,,,,,
"/people/profession/people_with_this_profession
","/people/person/ethnicity
/people/person/spouse_s./people/marriage/type_of_union
/people/person/nationality
/people/person/place_of_birth","/people/person/nationality
/people/person/profession
/people/person/place_of_birth","/base/saints/saint/venerated_in
/people/person/gender
/people/person/profession
/people/person/spouse_s./people/marriage/type_of_union
/people/person/ethnicity","/people/person/profession
/people/person/nationality","/people/deceased_person/place_of_death
/people/person/ethnicity
/people/person/place_of_birth
/people/person/nationality
/people/person/profession","/people/person/nationality
/people/person/profession",,,,,,,,,,,,
"/film/film/production_companies
","/film/production_company/films
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/contact_category
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_open_times/time_zone
/organization/organization/spin_offs./organization/organization_spin_off/child_company","/organization/organization/headquarters./location/mailing_address/citytown
/film/production_company/films",,,,,,,,,,,,,,,,
"/music/genre/subgenre
","/music/genre/parent_genre
/people/person/gender","/music/genre/parent_genre
/music/genre/artists","/music/genre/parent_genre
/music/genre/subgenre","/music/genre/subgenre
/music/genre/parent_genre",,,,,,,,,,,,,,
"/military/rank/used_by_services./military/military_service/military_force
","/dataworld/gardening_hint/split_to
/military/armed_force/personnel./military/military_service/rank","/military/armed_force/personnel./military/military_service/rank
/government/government_agency/jurisdiction",,,,,,,,,,,,,,,,
"/tv/tv_program/original_network./tv/tv_network_duration/network
","/business/employer/employees./business/employment_tenure/title
/award/award_winner/awards_won./award/award_honor/award
/tv/tv_network/programs./tv/tv_network_duration/program
/organization/organization/headquarters./location/mailing_address/citytown
/organization/organization/child./organization/organization_relationship/child
/tv/tv_network/areas_served","/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location
/tv/tv_network/areas_served
/tv/tv_network/programs./tv/tv_network_duration/program
/business/employer/employees./business/employment_tenure/title","/tv/tv_network/programs./tv/tv_network_duration/program
/organization/organization/headquarters./location/mailing_address/citytown","/tv/tv_network/programs./tv/tv_network_duration/program
/tv/tv_network/areas_served",,,,,,,,,,,,,,
"/cvg/computer_videogame/developer
","/organization/organization/headquarters./location/mailing_address/citytown
/cvg/cvg_developer/games_developed
/organization/organization/place_founded
/organization/organization/headquarters./location/mailing_address/country","/cvg/cvg_developer/games_developed
/organization/organization/headquarters./location/mailing_address/citytown
/organization/organization/headquarters./location/mailing_address/state_province_region
/organization/organization/place_founded",,,,,,,,,,,,,,,,
"/military/military_combatant/military_conflicts./military/military_combatant_group/conflict
","/base/culturalevent/event/entity_involved
/military/military_conflict/combatants./military/military_combatant_group/combatants","/base/culturalevent/event/entity_involved
/military/military_conflict/combatants./military/military_combatant_group/combatants
/time/event/included_in_event",,,,,,,,,,,,,,,,
"/food/food/nutrients./food/nutrition_fact/nutrient
","/user/mt/default_domain/metabolite/associated_disorder
/user/mt/default_domain/metabolite/biofluid_location","/user/mt/default_domain/metabolite/biofluid_location
/user/mt/default_domain/metabolite/associated_disorder
/chemistry/chemical_compound/solubility./chemistry/solubility_relationship/solvent","/user/mt/default_domain/metabolite/biofluid_location
/user/mt/default_domain/metabolite/associated_disorder","/user/mt/default_domain/metabolite/associated_disorder
/chemistry/chemical_compound/solubility./chemistry/solubility_relationship/solvent
/user/mt/default_domain/metabolite/biofluid_location",,,,,,,,,,,,,,
"/sports/sports_position/players./soccer/football_roster_position/team
","/soccer/football_team/current_roster./soccer/football_roster_position/position
/sports/sports_team/roster./soccer/football_roster_position/position
/sports/sports_team/roster./sports/sports_team_roster/position
/soccer/football_team/current_roster./sports/sports_team_roster/position","/soccer/football_team/current_roster./soccer/football_roster_position/position
/sports/sports_team/roster./sports/sports_team_roster/position
/sports/sports_team/roster./soccer/football_roster_position/position
/soccer/football_team/current_roster./sports/sports_team_roster/position","/sports/sports_team/roster./sports/sports_team_roster/position
/sports/sports_team/roster./soccer/football_roster_position/position
/soccer/football_team/current_roster./soccer/football_roster_position/position","/soccer/football_team/current_roster./sports/sports_team_roster/position
/sports/sports_team/roster./soccer/football_roster_position/position
/sports/sports_team/roster./sports/sports_team_roster/position",,,,,,,,,,,,,,
"/organization/organization/headquarters./location/mailing_address/citytown
","/location/location/containedby
/base/aareas/schema/administrative_area/administrative_parent",,,,,,,,,,,,,,,,,
"/organization/organization/companies_acquired./business/acquisition/company_acquired
","/organization/organization/headquarters./location/mailing_address/state_province_region
/organization/organization/parent./organization/organization_relationship/parent
/organization/organization/acquired_by./business/acquisition/acquiring_company",,,,,,,,,,,,,,,,,
"/government/politician/party./government/political_party_tenure/party
","/government/political_party/ideology
/organization/organization/geographic_scope
/government/political_party/politicians_in_this_party./government/political_party_tenure/politician",,,,,,,,,,,,,,,,,
"/people/person/education./education/education/institution
","/education/educational_institution/students_graduates./education/education/student
/business/business_operation/operating_income./measurement_unit/dated_money_value/currency
/business/business_operation/assets./measurement_unit/dated_money_value/currency
/organization/non_profit_organization/registered_with./organization/non_profit_registration/registering_agency
/business/business_operation/revenue./measurement_unit/dated_money_value/currency
/organization/organization/headquarters./location/mailing_address/country","/education/educational_institution/students_graduates./education/education/student
/organization/organization/headquarters./location/mailing_address/citytown",,,,,,,,,,,,,,,,
"/aviation/aircraft_owner/aircraft_fleet_composition./aviation/aircraft_ownership_count/aircraft_model
","/aviation/aircraft_model/number_owned_by./aviation/aircraft_ownership_count/aircraft_owner
/aviation/aircraft_model/aircraft_type",,,,,,,,,,,,,,,,,
"/food/dietary_restriction/incompatible_ingredients
","/food/food/nutrients./food/nutrition_fact/nutrient
/food/ingredient/incompatible_with_dietary_restrictions
/food/ingredient/compatible_with_dietary_restrictions",,,,,,,,,,,,,,,,,
"/sports/sports_position/players./sports/sports_team_roster/team
","/soccer/football_team/current_roster./soccer/football_roster_position/position
/sports/sports_team/roster./sports/sports_team_roster/position
/sports/sports_team/roster./soccer/football_roster_position/position
/soccer/football_team/current_roster./sports/sports_team_roster/position","/soccer/football_team/current_roster./sports/sports_team_roster/position
/sports/sports_team/roster./sports/sports_team_roster/position
/sports/sports_team/roster./soccer/football_roster_position/position
/soccer/football_team/current_roster./soccer/football_roster_position/position",,,,,,,,,,,,,,,,
"/business/employer/employees./business/employment_tenure/title
","/people/profession/specialization_of
/business/job_title/people_with_this_title./business/employment_tenure/company",,,,,,,,,,,,,,,,,
"/location/country/second_level_divisions
","/location/statistical_region/rent50_1./measurement_unit/dated_money_value/currency
/location/location/time_zones
/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency
/location/hud_foreclosure_area/total_residential_addresses./measurement_unit/dated_integer/source
/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source
/location/statistical_region/rent50_3./measurement_unit/dated_money_value/currency
/location/hud_foreclosure_area/estimated_number_foreclosures./measurement_unit/dated_integer/source
/location/statistical_region/rent50_4./measurement_unit/dated_money_value/currency
/location/hud_foreclosure_area/hhuniv./measurement_unit/dated_integer/source
/location/hud_foreclosure_area/total_90_day_vacant_residential_addresses./measurement_unit/dated_integer/source
/location/administrative_division/second_level_division_of","/location/hud_foreclosure_area/hhuniv./measurement_unit/dated_integer/source
/location/location/time_zones
/location/hud_foreclosure_area/total_residential_addresses./measurement_unit/dated_integer/source
/location/statistical_region/rent50_3./measurement_unit/dated_money_value/currency
/location/administrative_division/second_level_division_of
/location/hud_foreclosure_area/estimated_number_foreclosures./measurement_unit/dated_integer/source
/location/statistical_region/rent50_0./measurement_unit/dated_money_value/currency
/location/statistical_region/rent50_4./measurement_unit/dated_money_value/currency
/location/hud_foreclosure_area/total_90_day_vacant_residential_addresses./measurement_unit/dated_integer/source
/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source
/location/statistical_region/rent50_1./measurement_unit/dated_money_value/currency
/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency","/location/location/time_zones
/location/hud_foreclosure_area/hhuniv./measurement_unit/dated_integer/source
/location/hud_foreclosure_area/total_residential_addresses./measurement_unit/dated_integer/source
/location/hud_foreclosure_area/estimated_number_foreclosures./measurement_unit/dated_integer/source
/location/location/containedby
/location/statistical_region/rent50_0./measurement_unit/dated_money_value/currency
/location/hud_foreclosure_area/total_90_day_vacant_residential_addresses./measurement_unit/dated_integer/source
/location/statistical_region/rent50_4./measurement_unit/dated_money_value/currency
/location/statistical_region/rent50_3./measurement_unit/dated_money_value/currency
/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency
/location/administrative_division/second_level_division_of",,,,,,,,,,,,,,,
"/award/hall_of_fame_inductee/hall_of_fame_inductions./award/hall_of_fame_induction/hall_of_fame
","/award/hall_of_fame/discipline
/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee","/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee
/architecture/museum/address./location/mailing_address/state_province_region",,,,,,,,,,,,,,,,
"/location/location/partially_contains
","/location/location/partially_containedby
/geography/river/basin_countries
/location/location/containedby","/location/location/partially_containedby
/location/location/containedby",,,,,,,,,,,,,,,,
"/location/location/events
","/music/concert_tour/artist
/time/event/locations","/time/event/locations
/base/newsevents/news_reported_event/news_report_s./base/newsevents/news_report/news_reporting_organisation
/sports/multi_event_tournament/sports",,,,,,,,,,,,,,,,
"/location/country/administrative_divisions
","/location/administrative_division/country
/location/location/containedby",,,,,,,,,,,,,,,,,
"/government/governmental_jurisdiction/agencies
","/organization/organization/founders
/government/government_agency/jurisdiction","/government/government_agency/jurisdiction
/organization/organization/headquarters./location/mailing_address/citytown
/organization/organization/headquarters./location/mailing_address/state_province_region",,,,,,,,,,,,,,,,
"/medicine/disease/risk_factors
","/medicine/risk_factor/diseases
/medicine/disease_cause/diseases",,,,,,,,,,,,,,,,,
"/people/ethnicity/includes_groups
","/people/ethnicity/included_in_group
/people/ethnicity/languages_spoken","/people/ethnicity/languages_spoken
/people/ethnicity/geographic_distribution",,,,,,,,,,,,,,,,
"/people/ethnicity/included_in_group
","/people/ethnicity/geographic_distribution
/people/ethnicity/includes_groups",,,,,,,,,,,,,,,,,
"/location/location/people_born_here
","/people/person/place_of_birth
/people/person/profession
/people/person/places_lived./people/place_lived/location
/people/deceased_person/place_of_death","/people/person/place_of_birth
/people/person/spouse_s./people/marriage/type_of_union
/people/person/nationality
/people/person/profession",,,,,,,,,,,,,,,,
"/people/person/sibling_s./people/sibling_relationship/sibling
","/people/person/sibling_s./people/sibling_relationship/sibling
/people/person/nationality
/people/person/place_of_birth
/people/person/places_lived./people/place_lived/location",,,,,,,,,,,,,,,,,
"/time/time_zone/locations_in_this_time_zone
","/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source
/location/administrative_division/second_level_division_of
/location/statistical_region/rent50_1./measurement_unit/dated_money_value/currency
/location/hud_foreclosure_area/total_residential_addresses./measurement_unit/dated_integer/source
/location/hud_foreclosure_area/estimated_number_foreclosures./measurement_unit/dated_integer/source
/location/location/adjoin_s./location/adjoining_relationship/adjoins
/location/hud_foreclosure_area/total_90_day_vacant_residential_addresses./measurement_unit/dated_integer/source
/location/statistical_region/rent50_3./measurement_unit/dated_money_value/currency
/location/location/time_zones
/location/location/containedby","/location/location/containedby
/location/administrative_division/second_level_division_of
/location/location/time_zones","/location/location/time_zones
/location/location/containedby","/location/location/people_born_here
/location/location/time_zones
/sports/sports_team_location/teams
/location/location/containedby","/location/location/time_zones
/base/biblioness/bibs_location/country","/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division
/location/location/time_zones
/location/location/containedby",,,,,,,,,,,,
"/government/governmental_jurisdiction/governing_officials./government/government_position_held/governmental_body
","/government/governmental_body/members./government/government_position_held/jurisdiction_of_office
/government/governmental_body/jurisdiction",,,,,,,,,,,,,,,,,
"/award/award_category/winners./award/award_honor/award_winner
","/business/brand/owner_s./business/company_brand_relationship/company
/tv/tv_network/areas_served
/award/award_winner/awards_won./award/award_honor/award","/award/award_winner/awards_won./award/award_honor/award
/organization/organization/headquarters./location/mailing_address/country
/business/business_operation/industry","/award/award_winner/awards_won./award/award_honor/award
/business/employer/employees./business/employment_tenure/title
/tv/tv_program/genre",,,,,,,,,,,,,,,
"/media_common/media_genre/parent_genre
","/media_common/media_genre/parent_genre
/media_common/media_genre/child_genres",,,,,,,,,,,,,,,,,
"/film/film/distributors./film/film_film_distributor_relationship/distributor
","/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film
/organization/organization/headquarters./location/mailing_address/citytown",,,,,,,,,,,,,,,,,
"/award/award_winner/awards_won./award/award_honor/award_winner
","/organization/organization/headquarters./location/mailing_address/country
/award/award_winner/awards_won./award/award_honor/award_winner
/organization/organization/headquarters./location/mailing_address/state_province_region
/organization/organization/headquarters./location/mailing_address/citytown
/award/award_winner/awards_won./award/award_honor/award",,,,,,,,,,,,,,,,,
"/film/film/genre
","/film/film_genre/films_in_this_genre
/media_common/media_genre/parent_genre","/broadcast/content/location
/film/film_genre/films_in_this_genre",,,,,,,,,,,,,,,,
"/business/business_operation/industry
","/base/popstra/product/sold_to./base/popstra/product_choice/consumer
/business/industry/companies",,,,,,,,,,,,,,,,,
"/organization/organization/parent./organization/organization_relationship/parent
","/organization/organization/headquarters./location/mailing_address/state_province_region
/organization/organization/headquarters./location/mailing_address/country
/organization/non_profit_organization/registered_with./organization/non_profit_registration/registering_agency
/organization/organization/headquarters./location/mailing_address/citytown
/organization/organization/child./organization/organization_relationship/child","/organization/organization/headquarters./location/mailing_address/citytown
/organization/organization/child./organization/organization_relationship/child",,,,,,,,,,,,,,,,
"/organization/role/leaders./organization/leadership/organization
","/organization/organization/phone_number./common/phone_number/service_location
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/contact_category
/organization/organization/phone_number./common/phone_number/category
/organization/organization/leadership./organization/leadership/role","/business/business_operation/industry
/organization/organization/leadership./organization/leadership/role","/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/contact_category
/organization/organization/leadership./organization/leadership/role
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location
/organization/organization/headquarters./location/mailing_address/citytown
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language",,,,,,,,,,,,,,,
"/education/educational_institution/school_type
","/education/school_category/schools_of_this_kind
/organization/organization/headquarters./location/mailing_address/citytown","/film/film_subject/films
/education/school_category/schools_of_this_kind",,,,,,,,,,,,,,,,
"/people/deceased_person/place_of_burial
","/people/place_of_interment/interred_here
/location/location/containedby",,,,,,,,,,,,,,,,,
"/biology/organism_classification/organisms_of_this_type
","/base/thoroughbredracing/thoroughbred_racehorse/color
/biology/organism/organism_type",,,,,,,,,,,,,,,,,
"/base/thoroughbredracing/thoroughbred_racehorse/color
","/dataworld/gardening_hint/split_to
/base/thoroughbredracing/thoroughbred_racehorse_color/horses_of_this_color",,,,,,,,,,,,,,,,,
"/computer/operating_system/parent_os
","/computer/operating_system/includes_os_versions
/computer/operating_system/developer",,,,,,,,,,,,,,,,,
"/user/tsegaran/random/subject_taxonomy/entry./user/tsegaran/random/taxonomy_entry/subject
","/people/family/country
/user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy","/fictional_universe/fictional_setting/works_set_here
/user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy",,,,,,,,,,,,,,,,
"/tv/tv_genre/programs
","/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor
/tv/tv_program/regular_personal_appearances./tv/tv_regular_personal_appearance/appearance_type
/tv/tv_program/country_of_origin",,,,,,,,,,,,,,,,,
"/location/country/first_level_divisions
","/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency
/base/aareas/schema/administrative_area/administrative_parent
/location/administrative_division/first_level_division_of
/location/location/adjoin_s./location/adjoining_relationship/adjoins
/location/location/containedby",,,,,,,,,,,,,,,,,
"/music/genre/artists
","/music/artist/genre
/music/artist/origin",,,,,,,,,,,,,,,,,
"/sports/sport/teams
","/sports/sports_team/location
/sports/sports_team/colors
/sports/sports_team/sport","/sports/sports_team/colors
/sports/sports_team/sport",,,,,,,,,,,,,,,,
"/organization/organization/child./organization/organization_relationship/child
","/organization/organization/headquarters./location/mailing_address/state_province_region
/organization/organization/parent./organization/organization_relationship/parent","/organization/organization/headquarters./location/mailing_address/citytown
/organization/organization/headquarters./location/mailing_address/state_province_region","/organization/organization/parent./organization/organization_relationship/parent
/government/government_agency/jurisdiction",,,,,,,,,,,,,,,
"/base/aareas/schema/administrative_area/administrative_children
","/base/aareas/schema/administrative_area/administrative_parent
/base/biblioness/bibs_location/state
/base/biblioness/bibs_location/country
/location/location/containedby","/base/biblioness/bibs_location/country
/location/location/containedby","/base/aareas/schema/administrative_area/administrative_parent
/location/administrative_division/country",,,,,,,,,,,,,,,
"/architecture/type_of_museum/museums
","/architecture/museum/type_of_museum
/architecture/museum/address./location/mailing_address/citytown","/business/business_operation/assets./measurement_unit/dated_money_value/currency
/architecture/museum/address./location/mailing_address/citytown
/organization/non_profit_organization/registered_with./organization/non_profit_registration/registering_agency
/organization/organization/headquarters./location/mailing_address/state_province_region
/organization/organization/headquarters./location/mailing_address/country
/architecture/museum/type_of_museum
/organization/organization/headquarters./location/mailing_address/citytown",,,,,,,,,,,,,,,,
"/tv/tv_network/programs./tv/tv_network_duration/program
","/tv/tv_program/languages
/tv/tv_program/country_of_origin",,,,,,,,,,,,,,,,,
