hanged, drawn and quartered	statutory penalty in England for men convicted of high treason
rowing	sport where individuals or teams row boats by oar
1948 Winter Olympics	5th edition of Winter Olympics, held in Sankt Moritz (Switzerland) in 1948
Grammy Award for Best Pop Collaboration with Vocals	No description defined
Primetime Emmy Award for Outstanding Directing for a Comedy Series	award
Golden Raspberry Award for Worst Director	No description defined
52nd Primetime Emmy Awards	No description defined
Grammy Award for Best Rock Instrumental Performance	award
14th Screen Actors Guild Awards	ceremony on 27 January 2008 concerning films released in 2007
Chicago blues	orm of blues music indigenous to Chicago, Illinois
associate degree	undergraduate degree, typically achieved with two years of schooling
Grammy Award for Best Rap Solo Performance	No description defined
infectious disease	disease caused by infection of pathogenic biological agents in a host organism
Latin Grammy Award for Best Male Pop Vocal Album	No description defined
Grammy Award for Best Music Video	No description defined
2000 Summer Olympics	games of the XXVII Olympiad, celebrated in Sydney in 2000
smallpox	Human disease
lymphoma	A hematologic cancer that affects lymphocytes that reside in the lymphatic system and in blood-forming organs.
68th Academy Awards	No description defined
homicide	killing of a human being by another human being. Use as value for "manner of death" (P1196)
Hong Kong Film Award for Best Actress	No description defined
37th Golden Globe Awards	No description defined
Grammy Award for Best Hard Rock Performance	award
34th Academy Awards	No description defined
biathlon	winter sport that combines cross-country skiing and rifle sports shooting
Screen Actors Guild Life Achievement Award	award
Grammy Award for Best Jazz Vocal Album	No description defined
8th Screen Actors Guild Awards	ceremony on 9 March 2002 concerning films released in 2001
mental disorder	psychological pattern or anomaly
13th Screen Actors Guild Awards	ceremony on 28 January 2007 concerning films released in 2006
archery	sports
Saturn Award for Best Director	award
Grammy Award for Best Male Pop Vocal Performance	award
badminton	racquet sport
family medicine	medical specialty
35th Academy Awards	No description defined
Master of Arts	type of Master's degree
tragedy	form of drama based on human suffering that invokes an accompanying catharsis or pleasure in audiences
1997 Grammy Awards	award ceremony
association football	sport in which two teams (usually of 11 players) compete to kick a ball into a defended goal
Grammy Award for Best Contemporary Blues Album	No description defined
Primetime Emmy Award for Outstanding Writing for a Miniseries, Movie or a Dramatic Special	No description defined
23rd Academy Awards	No description defined
Grammy Award for Best Pop Performance by a Duo or Group with Vocals	No description defined
Grammy Award for Best Musical Theater Album	No description defined
78th Academy Awards	No description defined
38th Academy Awards	No description defined
Golden Globe Award for Best Director	award
Screen Actors Guild Award for Outstanding Performance by a Male Actor in a Leading Role	No description defined
Jury Prize	the third most prestigious prize at the annual Cannes film festival
Golden Raspberry Award for Worst Supporting Actor	award
Alzheimer's disease	chronic neurodegenerative disease that usually starts slowly and worsens over time. It is the cause of 60% to 70% of cases of dementia
Japan Academy Prize for Outstanding Foreign Language Film	award
liver cancer	A gastrointestinal system cancer that is located_in the liver.
1952 Summer Olympics	games of the XV Olympiad, celebrated in Helsinki in 1952
BAFTA Award for Best Original Screenplay	No description defined
Master of Laws	academic degree
Critics' Choice Movie Award for Best Actor	award given by the Broadcast Film Critics Association
Grammy Award for Best Music Film	award for concert/performance films or music documentaries
No label defined	No description defined
inframacion de gargantilla	type of upper respiratory tract infection
82nd Academy Awards	No description defined
Grammy Award for Best Rap Song	award
BAFTA Award for Best Actress in a Supporting Role	award
65th British Academy Film Awards	No description defined
Academy Award for Best Sound Mixing	No description defined
Louis Delluc Prize	award
1972 Summer Olympics	games of the XX Olympiad, celebrated in Munich in 1972
2008 Summer Olympics	games of the XXIX Olympiad, celebrated in Beijing in 2008
corticosteroid	steroid hormone
Bachelor of Business Administration	academic degree
64th Academy Awards	No description defined
2002 Winter Olympics	19th edition of Winter Olympics, held in Salt Lake City (United States) in 2002
Substance-related disorder	No description defined
virus	type of non-cellular infectious agent
36th Academy Awards	No description defined
59th Golden Globe Awards	No description defined
tennis	ball sport with racket and net
multiple sclerosis	demyelinating disease that involves damage to the fatty myelin sheaths around the axons of the brain and spinal cord resulting in demyelination and scarring.
Independent Spirit Award for Best Male Lead	No description defined
BAFTA Award for Best Makeup and Hair	No description defined
1996 Summer Olympics	games of the XXVI Olympiad, celebrated in Atlanta in 1996
Golden Satellite Awards 2004	No description defined
Screen Actors Guild Award for Outstanding Performance by a Cast in a Motion Picture	award
Grammy Award for Best Rock Song	award
Independent Spirit Award for Best Supporting Male	No description defined
Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series	No description defined
Goya Award for Best Supporting Actress	No description defined
kidney failure	disease where the kidneys fail to adequately filter waste products from the blood
1964 Winter Olympics	9th edition of Winter Olympics, held in Innsbruck (Austria) in 1964
1972 Winter Olympics	11th edition of Winter Olympics, held in Sapporo (Japan) in 1972
Golden Globe Award for Best Animated Feature Film	award
Grammy Award for Best Country Album	No description defined
Grammy Award for Best Remixed Recording, Non-Classical	award
ice hockey	team sport played on ice using sticks and skates
meningitis	human disease
13th Academy Awards	No description defined
American football	American sport in which opposing teams of eleven players attempt to score by advancing a ball by running, passing and kicking
abdominal pain	No description defined
Golden Raspberry Award for Worst New Star	No description defined
Grammy Award	accolade by the National Academy of Recording Arts and Sciences of the United States
epilepsy	Human disease
Golden Raspberry Award for Worst Screenplay	No description defined
Primetime Emmy Award for Outstanding Writing for a Variety, Music or Comedy Program	award
Satellite Award for Best Original Screenplay	No description defined
Broadcast Film Critics Association Awards 2011	No description defined
Grammy Award for Best Reggae Album	award
Saturn Award for Best Actor	No description defined
Grammy Award for Best Rap Album	award
Broadcast Film Critics Association Award for Best Supporting Actress	No description defined
Hong Kong Film Award for Best New Performer	annual Hong Kong industry award
Primetime Emmy Award for Outstanding Lead Actress in a Comedy Series	award
surgery	medical specialty
asthma	respiratory disease
Academy Award for Best Original Score	No description defined
esophageal cancer	A gastrointestinal system cancer that is located_in the esophagus.
freestyle skiing	winter sport
dressage	highly skilled form of riding performed in exhibition and competition
acquired immunodeficiency syndrome	human disease, a collection of symptoms resulting from a viral infection causing severe damage to the immune system
eventing	sport
68th Golden Globe Awards	No description defined
taekwondo	martial art from Korea
MTV Video Music Award for Best Rap Video	award
Primetime Emmy Award for Outstanding Lead Actor in a Miniseries or a Movie	No description defined
Golden Raspberry Award for Worst Original Song	award
poisoning	toxic effect of a biological or chemical agent
Palme d'Or	highest prize awarded at the Cannes Film Festival
beach volleyball	team sport played by two teams of two players on a sand court divided by a net
autoimmunity	failure of an organism in recognizing its own constituent parts as self
mountain biking	sport
Crohn's disease	intestinal disease that involves inflammation located_in intestine.
pancreatic cancer	An endocrine gland cancer located_in the pancreas.
cardiac arrest	A congestive heart breath
16th Academy Awards	No description defined
baseball	sport in which teams compete to score runs by hitting a thrown ball and advancing around bases
endocrine system disease	type of disease affecting the endocrine system
1952 Winter Olympics	6th edition of Winter Olympics, held in Oslo (Norway) in 1952
6th Screen Actors Guild Awards	ceremony on 12 March 2000 concerning films released in 1999
New York Film Critics Circle Award for Best Actress	No description defined
55th Academy Awards	No description defined
capital punishment	legal process whereby a person is put to death by the state as a punishment for a crime
MTV Video Music Award for Best Pop Video	No description defined
MTV Video Music Award for Best Rock Video	No description defined
Academy Award for Best Documentary, Short Subject	No description defined
testicular cancer	A male reproductive system cancer that is located_in the testicles.
MTV Video Music Award for Best Dance Video	No description defined
Screen Actors Guild Award for Outstanding Performance by a Female Actor in a Comedy Series	No description defined
dyslexia	reading disorder
Academy Award for Best Foreign Language Film	No description defined
drowning	respiratory impairment caused by submersion in liquid
Tony Award for Best Featured Actress in a Musical	No description defined
basketball	team sport played on an indoor court with baskets on either end
Bachelor of Engineering	undergraduate academic degree awarded to a student after three to five years of studying engineering at university or college.
65th Academy Awards	No description defined
acute cystitis	Human and animal disease
itch	disease
Golden Globe Award for Best Original Score	award
Primetime Emmy Award for Outstanding Lead Actor in a Comedy Series	No description defined
MTV Movie Award for Best Breakthrough Performance	award
volleyball	ballgame and team sport in which two teams compete to ground the ball on their opponents' side of the net
MTV Movie Award for Best Dance Sequence	No description defined
cardiovascular system disease	class of diseases that involve the heart or blood vessels
Master of Philosophy	master's degree
Grammy Award for Best Jazz Instrumental Album	No description defined
64th Primetime Emmy Awards	No description defined
MTV Video Music Award for Best Choreography	No description defined
Primetime Emmy Award for Outstanding Supporting Actor in a Drama Series	award
influenza	infectious disease caused by an influenza virus
MTV Video Music Award for Best Direction	award
Grammy Award for Best Rock Album	award
BAFTA Award for Best Direction	award
BAFTA Academy Fellowship Award	award
gunshot	discharge of a firearm
Goya Award for Best Actress	award
58th Primetime Emmy Awards	No description defined
tuberculosis	infectious disease caused by the bacterium Mycobacterium tuberculosis
1928 Summer Olympics	games of the IX Olympiad, celebrated in Amsterdam in 1928
Broadcast Film Critics Association Awards 2001	No description defined
56th Academy Awards	No description defined
Grammy Award for Best Traditional Blues Album	No description defined
1984 Summer Olympics	games of the XXIII Olympiad, celebrated in Los Angeles in 1984
1988 Winter Olympics	15th edition of Winter Olympics, held in Calgary (Canada) in 1988
anemia	decrease in number of red blood cells
Grammy Award for Best Solo Rock Vocal Performance	award
MTV Video Music Award for Best Editing	No description defined
Grammy Award for Best Male Rock Vocal Performance	No description defined
Academy Award for Best Story	No description defined
Bachelor of Arts	bachelor's degree awarded for undergraduate study in liberal arts, the sciences or both
MTV Movie Award for Best Song from a Movie	No description defined
54th Academy Awards	awards presented March 29, 1982
Screen Actors Guild Award for Outstanding Performance by a Male Actor in a Miniseries or Television Movie	No description defined
84th Academy Awards	No description defined
1968 Winter Olympics	10th edition of Winter Olympics, held in Grenoble (France) in 1968
BAFTA Award for Best Sound	No description defined
Screen Actors Guild Award for Outstanding Performance by a Stunt Ensemble in a Motion Picture	No description defined
Primetime Emmy Award for Outstanding Guest Actress in a Comedy Series	No description defined
rape	type of sexual assault
Satellite Awards 2010	No description defined
41st Academy Awards	No description defined
skin cancer	class of skin illnesses, tumor or cancer of the skin
Primetime Emmy Award for Outstanding Guest Actress in a Drama Series	No description defined
amyotrophic lateral sclerosis	motor neuron disease that is characterized by muscle spasticity, rapidly progressive weakness due to muscle atrophy, difficulty in speaking, swallowing, and breathing.
Primetime Emmy Award for Outstanding Lead Actress in a Drama Series	No description defined
57th Primetime Emmy Awards	No description defined
Independent Spirit Award for Best Documentary Feature	No description defined
Los Angeles Film Critics Association Award for Best Actress	No description defined
Independent Spirit Award for Best Director	No description defined
2010 Winter Olympics	21st edition of Winter Olympics, held in Vancouver (Canada) in 2010
Independent Spirit Award for Best Screenplay	No description defined
Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Comedy Series	No description defined
Screen Actors Guild Award for Outstanding Performance by a Female Actor in a Drama Series	No description defined
boxing	combat sport
Primetime Emmy Award for Outstanding Supporting Actress in a Comedy Series	No description defined
Saturn Award for Best Costume	No description defined
BAFTA Award for Best Special Visual Effects	No description defined
rheumatoid arthritis	An arthritis that is an autoimmune disease which attacks healthy cells and tissue located in joint.
type 2 diabetes mellitus	A diabetes mellitus that involves high blood glucose resulting from cells fail to use insulin properly.
BAFTA Award for Best Film	award
golf	sport in which players attempt to hit a ball with a club into a goal using a minimum number of shots
fever	common medical sign characterized by elevated body temperature
2010 Australian Film Institute Awards	No description defined
vomiting	involuntary, forceful expulsion of stomach contents through the mouth and sometimes the nose
Golden Bear	film prize awarded for the best film at the Berlin International Film Festival
18th Screen Actors Guild Awards	ceremony on 29 January 2012 concerning films released in 2011
breast cancer	thoracic cancer that originates in the mammary gland.
Academy Award for Best Writing, Adapted Screenplay	No description defined
Master of Business Administration	master's degree in business administration (MBA)
Cannes Best Director Award	Award given at Cannes Film Festival
Academy Award for Best Visual Effects	Academy Award given for the best achievement in visual effects
jaundice	medical condition with yellowish pigmentation of the skin or sclerae by bilirubin
26th Academy Awards	Academy Awards ceremonies
antibiotic	chemical agent that inhibits bacterial growth or kills bacteria
Tony Award for Best Original Score	award
Academy Award for Best Film Editing	one of the annual awards of the Academy of Motion Picture Arts and Sciences
1980 Winter Olympics	13th edition of Olympic Winter Games, held in Lake Placid, New York, USA between 13-24 February 1980
hepatitis	inflammation of the liver tissue
Hundred Flowers Award for Best Actress	No description defined
respiratory failure	inadequate gas exchange by the respiratory system
71st Academy Awards	No description defined
Grammy Award for Record of the Year	award
Primetime Emmy Award for Outstanding Supporting Actor in a Miniseries or a Movie	award
Tony Award for Best Actress in a Play	No description defined
39th Academy Awards	No description defined
diploma	document that grants an academic degree
Satellite Awards 2007	No description defined
anorexia	medical symptom
30th Academy Awards	No description defined
BAFTA Award for Best Animated Film	award
Golden Raspberry Award for Worst Picture	No description defined
Independent Spirit Award for Best Female Lead	Independent Spirit Award
pneumonia	Inflammatory condition of the lung
London Film Critics Circle Award for Director of the Year	No description defined
67th Academy Awards	No description defined
cholera	infectious disease
10th Screen Actors Guild Awards	ceremony on 22 February 2004 concerning films released in 2003
MTV Video Music Award for Best Video from a Film	award
Academy Award for Best Sound Editing	No description defined
50th Academy Awards	No description defined
65th Golden Globe Awards	No description defined
National Board of Review Award for Best Actor	No description defined
multiple myeloma	A myeloid neoplasm that is located in the plasma cells in bone marrow.
1920 Summer Olympics	games of the VII Olympiad, celebrated in Antwerp, Belgium, in 1920
62nd Academy Awards	No description defined
Satellite Award for Best Costume Design	No description defined
diarrhea	Human disease
Broadcast Film Critics Association Award for Best Young Performer	Critics' Choice Award
bubonic plague	human and animal disease
17th Screen Actors Guild Awards	ceremony on 30 January 2011 concerning films released in 2010
Grammy Award for Best New Artist	award
Academy Award for Best Live Action Short Film	No description defined
Academy Award for Best Cinematography	No description defined
Primetime Emmy Award for Individual Performance in a Variety or Music Program	No description defined
1998 Winter Olympics	18th edition of Winter Olympics, held in Nagano (Japan) in 1998
85th Academy Awards	awards ceremony
Grammy Award for Best Latin Pop Album	award
Academy Award for Best Original Song	No description defined
Primetime Emmy Award for Outstanding Supporting Actor in a Comedy Series	No description defined
Grammy Award for Best Compilation Soundtrack for Visual Media	No description defined
kidnapping	taking away or transportation of a person against that person's will
Primetime Emmy Award for Outstanding Comedy Series	No description defined
Master of Fine Arts	master's degree for the production of art developed primarily for aesthetics
New York Film Critics Circle Award for Best Film	No description defined
MTV Movie Award for Best Movie	No description defined
attention deficit hyperactivity disorder	mental disorder
21st Academy Awards	No description defined
Primetime Emmy Award	American accolade bestowed by the Academy of Television Arts & Sciences
Independent Spirit Award for Best First Screenplay	No description defined
40th Academy Awards	No description defined
Primetime Emmy Award for Outstanding Supporting Actress in a Drama Series	No description defined
Broadcast Film Critics Association Award for Best Comedy Film	No description defined
1936 Summer Olympics	games of the XI Olympiad, celebrated in Berlin in 1936
poverty	state of one who lacks a certain amount of material possessions or money
Grammy Award for Best Metal Performance	award
typhoid fever	human disease
MTV Movie Award for Best Scared-As-S**t Performance	No description defined
38th People's Choice Awards	No description defined
Grammy Award for Best Rap Performance by a Duo or Group	No description defined
MTV Video Music Award for Best Group Video	No description defined
National Society of Film Critics Award for Best Director	award
MTV Video Music Award for Best Female Video	No description defined
Academy Award for Best Actor	award presented annually by the Academy of Motion Picture Arts and Sciences
Grammy Award for Best Contemporary Jazz Album	award
Academy Award for Best Makeup and Hairstyling	No description defined
14th Academy Awards	No description defined
suicide	intentional act of causing one's own death
salsa music	general term referring to what is essentially Cuban popular dance music which was internationalized outside Cuba
Satellite Awards 2009	No description defined
Screen Actors Guild Award for Outstanding Performance by a Female Actor in a Supporting Role	No description defined
32nd Academy Awards	No description defined
24th Academy Awards	No description defined
46th Academy Awards	No description defined
colorectal cancer	large intestine cancer that is located in the colon and/or in the rectum
internal medicine	medical specialty dealing with the prevention, diagnosis, and treatment of adult diseases
BAFTA Award for Best Actor in a Leading Role	No description defined
London Film Critics Circle Award for Actor of the Year	No description defined
BAFTA Award for Best Film Music	No description defined
61st Academy Awards	No description defined
1948 Summer Olympics	games of the XIV Olympiad, celebrated in London in 1948
Nordic combined	winter sport combining the events of cross-country skiing and ski jumping
ski jumping	skiing sport with jumping down a hill
Bachelor of Science	academic degree
1956 Summer Olympics	games of the XVI Olympiad, celebrated in Melbourne in 1956
old age	consists of ages nearing or surpassing the life expectancy of human beings
natural causes	manner of death
MTV Movie Award for Best Villain	No description defined
Grammy Award for Best Rock Performance by a Duo or Group with Vocal	award
1994 Winter Olympics	17th edition of Winter Olympics, held in Lillehammer (Norway) in 1994
sinusitis	Human disease
Screen Actors Guild Award for Outstanding Performance by a Male Actor in a Supporting Role	No description defined
involuntary manslaughter	unlawful killing of another human with no intent to kill
