Anthony Horowitz	English novelist and screenwriter
Noam Chomsky	american linguist, philosopher and activist
Dynasty	TV series
DeWitt Clinton	politician from the United States
CSI: Crime Scene Investigation	American crime fiction television series (2000-present)
Seinfeld	American sitcom
Hermann Hesse	novelist and winner of Nobel Prize in Literature
Bruce Sterling	American writer, speaker, futurist, and design instructor
The Ultimate Fighter	American reality series and MMA competition
Walter Benjamin	German literary critic, philosopher and social critic (1892-1940)
Soap	American sitcom
Breaking Bad	American television series (2008-2013)
Animaniacs	American animated television series
Douglas Haig, 1st Earl Haig	British senior officer during the First World War
The Gathering Storm	No description defined
True Blood	American television drama series
Stephen Jay Gould	American evolutionary biologist
Kurt Vonnegut	20th-century American writer
Sherlock	British-American crime drama television series
Voltaire	French writer, historian, and philosopher
Saturday Night Live	American late-night live television sketch comedy and variety show
10th United States Congress	No description defined
Thomas Aquinas	Italian Dominican scholastic philosopher of the Roman Catholic Church
The Cosby Show	American television situation comedy
Evangelion: 1.0 You Are (Not) Alone	2007 film by Hideaki Anno, Kazuya Tsurumaki
Philip Roth	American novelist
Haruki Murakami	Japanese author, novelist
Robert Silverberg	American speculative fiction writer and editor
Albert Einstein	German-born physicist and founder of the theory of relativity
children's film	film genre
Henri Bergson	French philosopher
Karl Popper	Austrian-British philosopher of science
Charles B. Rangel	Recipient of the Purple Heart and politician
John C. Calhoun	7th Vice President of the United States
L.A. Law	television series
Bram Stoker	Irish novelist and short story writer, best known today for his 1897 Gothic novel Dracula
August Strindberg	Swedish playwright, novelist, poet, essayist and painter
Mark Twain	American author and humorist
Dragon Ball Z: Bojack Unbound	1993 film by Yoshihiro Ueda
One Life to Live	American television series
Only Fools and Horses	British television sitcom
Ron Paul	American politician and physician
Samuel R. Delany	American author, professor and literary critic
Rome	TV series
Temple Grandin	2010 film
Jean-Paul Sartre	French existentialist philosopher, playwright, novelist, screenwriter, political activist, biographer, and literary critic
T. S. Eliot	20th century English author
Peter David	American writer of comic books, novels, television, movies and video games
Digimon Tamers	No description defined
John Adams	TV series
President of the United States of America	head of state and of government of the USA
Today	American television program
Law & Order: Special Victims Unit	American police procedural crime drama television series
Thirtysomething	television program
John Conyers	American politician from Michigan
Dancing with the Stars	U.S. TV series
Red Dwarf	BBC science-fiction comedy drama television programme
Lewis Carroll	English writer, logician, Anglican deacon and photographer
Gottfried Wilhelm Leibniz	German mathematician and philosopher
Greg Bear	American writer best known for science fiction
Edward VII	King of the United Kingdom and the British Dominions and Emperor of India
Fyodor Dostoyevsky	Russian 19th century author
Fringe	American science fiction television series
102nd United States Congress	No description defined
George Washington	first President of the United States
Henry Rollins	American singer-songwriter
Jules Verne	French novelist, poet, and playwright
Friday Night Lights	TV series
Marcel Proust	French novelist, critic, and essayist
Family Guy	American animated sitcom created by Seth MacFarlane
The Sopranos	American television series
Nicholas II of Russia	last Emperor of Russia, Grand Duke of Finland, and titular King of Poland
American Horror Story	American anthology horror television series
Hans Christian Andersen	Danish author, fairy tale writer, and poet
Poul Anderson	American science fiction and fantasy writer
Iain Banks	Scottish writer
Weeds	American television series
Pretty Little Liars	American teen drama mystery-thriller television series
The Wire	American TV series
David Brin	novelist, short story writer
Grey Gardens	2009 HBO film
Jonathan Lethem	Novelist, essayist, short story writer
Bleach: Memories of Nobody	2006 film by Noriyuki Abe
The Boondocks	American adult animated sitcom
Larry Niven	American writer
William S. Burroughs	American novelist, short story writer, essayist, painter, and spoken word performer
Dragon Ball Z: Lord Slug	1991 film by Mitsuo Hashimoto
Alexander Pushkin	Russian poet
The Mickey Mouse Club	American variety television show
Virginia Woolf	English writer
Frank Herbert	American writer
Boardwalk Empire	American TV series set in Atlantic City during the Prohibition era
Masada	No description defined
William McKinley	American politician, 25th president of the United States (in office from 1897 to 1901)
William Howard Taft	American politician, 27th president of the United States (in office from 1909 to 1913)
Mobile Suit Gundam	Anime television series
Salman Rushdie	British Indian novelist and essayist
I. M. Pei	Chinese American architect
Arthur Wellesley, 1st Duke of Wellington	British soldier and statesman
Into the Storm	2009 TV-biopic about Churchill
James Monroe	American politician, 5th president of the United States (in office from 1817 to 1825)
Glee	American musical comedy-drama television series
Northern Exposure	American television series
Curb Your Enthusiasm	American television series
Douglas Adams	English writer and humorist
Christopher Hitchens	British American author and journalist
Alan Moore	English writer primarily known for his work in comic books
Dashiell Hammett	American writer
Richard Rorty	American philosopher
Grey's Anatomy	American television medical drama
Michael Moorcock	English writer, editor, critic
The Civil War	documentary film series by Ken Burns
Degrassi: The Next Generation	No description defined
Vernor Vinge	American mathematician, computer scientist, and science fiction writer
Robert Louis Stevenson	Scottish novelist, poet, essayist, and travel writer
C. J. Cherryh	United States science fiction and fantasy author
Buffy the Vampire Slayer	American horror television series
M*A*S*H	American TV series about fictional 4077th MASH
Augustine of Hippo	early Christian theologian and philosopher
Monk	American television series
Star Trek: The Next Generation	American science fiction television series
Lord Byron	English poet and a leading figure in the Romantic movement
Sarah Palin	American politician
Tom Wolfe	American author and journalist
Tennessee Williams	American playwright
Robot Chicken	American stop-motion animated comedy television series
Elizabeth II	queen of the UK, Canada, Australia, and New Zealand, and head of the Commonwealth of Nations
Modern Family	American comedy TV series
Stargate Atlantis	science fiction tv-show
Stephen Baxter	author
Ralph Waldo Emerson	American philosopher, essayist, and poet
James K. Polk	American politician, 11th president of the United States (in office from 1845 to 1849)
Arthur C. Clarke	British science fiction writer, science writer, inventor, undersea explorer, and television series host
Prison Break	American TV series
Carl Jung	Swiss psychiatrist and psychotherapist who founded analytical psychology
Dragon Ball Z: Dead Zone	1989 film by Daisuke Nishio
Yu-Gi-Oh! Duel Monsters	2000-2004 anime TV series
Sesame Street	American children's television program
Terrence McNally	American playwright
Law & Order: Criminal Intent	television series
Diana Wynne Jones	English children's fantasy writer
The Wire, season 4	No description defined
The Vampire Diaries	American television series
Star Trek	science fiction media franchise
Bleach: Fade to Black	2008 film by Noriyuki Abe
Galileo Galilei	Italian mathematician, physicist, philosopher and astronomer
Friedrich Schiller	German poet, philosopher, historian, and playwright
William Tecumseh Sherman	American General, businessman, educator, and author.
Robert A. Heinlein	American science fiction author
Chuck Norris	American martial artist and actor
Saturday Night's Main Event	professional wrestling television program
The Practice	television series
Thomas Hobbes	English philosopher, born 1588
Agatha Christie	English mystery and detective writer
Shackleton	TV mini-series
Raphael	Italian painter and architect
The Mary Tyler Moore Show	television series
Ted Kennedy	United States Senator
Michael Swanwick	American science fiction author
Malcolm in the Middle	American television sitcom
Bleach: The DiamondDust Rebellion	2007 film by Noriyuki Abe
Leo Tolstoy	Russian writer
Sailor Moon Super S: The Movie	1995 film by Hiroki Shibata
Elizabeth I	two-part 2005 British historical drama television miniseries
Cagney & Lacey	American television series
All in the Family	American television series
Summer Wars	2009 film by Mamoru Hosoda
Sailor Moon S: The Movie	1994 Japanese animated film
Oliver Cromwell	English military and political leader
Mao Zedong	Chairman of People's Republic of China
Oscar Wilde	Irish writer and poet
Charles Darwin	British naturalist, author of "On the origin of species, by means of natural selection"
H. G. Wells	English writer
1st United States Congress	legislative term
Twin Peaks	American murder mystery television series by Mark Frost and David Lynch
Henrik Ibsen	Norwegian playwright, theatre director, and poet
Lost	American television series
3rd Rock from the Sun	American sitcom
RahXephon	anime series about 17-year-old Ayato Kamina, his ability to control a mecha known as the RahXephon
Charles Sanders Peirce	American philosopher, logician, mathematician, and scientist
John Varley	American science fiction author
Charles de Gaulle	eighteenth President of the French Republic
Jonathan Swift	Anglo-Irish satirist, essayist, and poet
A Pup Named Scooby-Doo	No description defined
Dante Alighieri	Italian poet
David Hilbert	German prominent mathematician
D. H. Lawrence	English novelist, poet, playwright, essayist, literary critic and painter
23rd United States Congress	No description defined
Bleak House	television series
Homicide: Life on the Street	television series
Yasser Arafat	former Palestinian President, and Nobel Peace Prize recipient
20th United States Congress	No description defined
The Andy Griffith Show	American sitcom from the 1960s
Gertrude Stein	American art collector and experimental writer of novels, poetry and plays
Brideshead Revisited	1981 British television serial
Ben 10	American animated series
Rich Man, Poor Man	TV miniseries
Jack London	American author, journalist, and social activist
J. G. Ballard	British writer
Hallmark Hall of Fame	television series
Vincent van Gogh	Dutch post-Impressionist painter
How I Met Your Mother	American sitcom / comedy-drama TV series
Walter Model	German field marshal
113th United States Congress	legislative term
Stargate SG-1	science fiction TV show
Ernest Hemingway	American author and journalist
Ludwig von Mises	austrian economist
William Morris	author, designer, and craftsman
Erich Ludendorff	German Army officer and later Nazi leader in Adolf Hitler's Beer Hall Putsch
Johann Wolfgang von Goethe	German writer, artist, and politician
The Fairly OddParents	American animated television series
Michel Foucault	French philosopher
Holby City	British medical drama television series
Frank Lloyd Wright	American architect (1867-1959)
Franz Kafka	author
Gilles Deleuze	French philosopher
The Simpsons	American animated sitcom created by Matt Groening for the Fox Broadcasting Company
John Maynard Keynes	British economist
James Baldwin	(1924-1987) writer from the United States
Sigmund Freud	Austrian neurologist known as the founding father of psychoanalysis
28th United States Congress	No description defined
David Copperfield	1999 UK TV film
James Madison	4th president of the United States (1809 to 1817)
Norman Foster	British architect
Jeff Probst	TV personality
Ludwig Wittgenstein	Austrian-British philosopher
American Idol	reality game show and singing competition
Oz	TV series
Don DeLillo	American novelist, playwright and essayist
Boston Legal	US-American legal dramedy
Gate Keepers 21	original video animation
Edwin Aldrin Jr.	American astronaut
Roald Dahl	British novelist, short story writer, poet, fighter pilot and screenwriter
Vice President of the United States	public office in the United States
Frankie Faison	American actor
20th-century philosophy	No description defined
Into the West	No description defined
The Big Bang Theory	American sitcom
Rugrats	children's television series
Chuck	TV series
General Hospital	American daytime television medical drama
Ray Bradbury	American writer
WWE SmackDown	WWE television program
Neal Stephenson	American science fiction writer
Thomas Jefferson	3rd President of the United States of America
The Late Shift	1996 American television film
Linus Pauling	American scientist
Homeland	American political thriller television series
Tiny Toon Adventures	animated television series
The Good Wife	American legal drama TV series
109th United States Congress	No description defined
Gautama Buddha	The founder of Buddhism
Georgy Zhukov	Marshal of the Soviet Union
America's Got Talent	American reality television series
Hollywood Squares	No description defined
John Locke	English philosopher and physician
Ursula K. Le Guin	American writer known best for speculative fiction
Two and a Half Men	TV series
Frank Herbert's Dune	2000 three part TV mini-series
Robert Gates	CIA director, U.S. Secretary of Defense, and university president
David Hume	Scottish philosopher, economist, and historian
The Colbert Report	US satirical late night television program
Dragon Ball: Mystical Adventure	No description defined
107th United States Congress	No description defined
Paul Auster	novelist, poet, essayist, screenwriter
Norman Mailer	American novelist, journalist, essayist, playwright, film maker, actor and political candidate
The Bold and the Beautiful	American television drama series
P.G. Wodehouse	English author
Gossip Girl	TV series
War and Peace	1972 TV series
Roots	1977 miniseries
Abraham Lincoln	16th President of the United States
Aristotle	Classical Greek philosopher, student of Plato and founder of Western philosophy
GFW Impact!	American professional wrestling TV program
Dallas	American television soap opera
Isaac Newton	British physicist and mathematician and founder of modern classical physics
Babylon 5	American space opera television series created by writer and producer J. Michael Straczynski
Santa Barbara	American television soap opera
ER	American medical drama television series
Sailor Moon R: The Movie	first of Sailor Moon films
George Orwell	English author and journalist
John Milton	English epic poet
From the Earth to the Moon	TV miniseries
Fist of the North Star	Japanese manga series
J. D. Salinger	American writer
The Muppet Show	1976-1981 TV series
EastEnders	British television soap opera
Jack Vance	American mystery and speculative fiction writer
Street Fighter II V	Japanese animated TV series
Eugene O'Neill	American playwright, and Nobel laureate in Literature
31st United States Congress	No description defined
Niels Bohr	Danish physicist and receiver of a 1922 Nobel Prize
Donald M. Payne	American politician
Eureka Seven	anime series
Jacob Zuma	4th President of South Africa
Underbelly (series)	No description defined
Tom and Jerry	American animated short film series
G. K. Chesterton	English mystery novelist and Christian apologist
Harry Turtledove	American novelist, short story author, essayist, historian
Edmund Husserl	German philosopher, known as the father of phenomenology
Rudyard Kipling	English short-story writer, poet, and novelist
Jacques Derrida	French philosopher (1930-2004)
Benjamin Franklin	American author, printer, political theorist, politician, postmaster, scientist, inventor, civic activist, statesman, and diplomat
Mobile Suit Gundam SEED	television anime
Band of Brothers	TV mini-series
Pierre Trudeau	15th Prime Minister of Canada
Toni Morrison	American writer
Digimon Adventure 02	No description defined
Lloyd Alexander	American children's writer
Japan Academy Prize for Animation of the Year	award
Bones	American crime procedural drama television series
Deadwood	American TV series
Neighbours	long-running Australian soap opera
Evangelion: 2.0 You Can (Not) Advance	2009 Japanese animated film
Damages	American legal thriller television series
Charles Baudelaire	French poet
William Butler Yeats	Irish poet and playwright
All My Children	television series
An Early Frost	1985 American TV movie, the first major film to deal with the AIDS Crisis
John F. Kennedy	35th president of the United States of America
Philip K. Dick	American author
Mahatma Gandhi	pre-eminent leader of Indian nationalism during British-ruled India
executive producer	profession
Joseph Campbell	American mythologist, writer and lecturer
It	1990 psychological horror/drama miniseries
Stephen Hawking	British theoretical physicist, cosmologist, and author
C. S. Lewis	Christian apologist, novelist, and Medievalist
Big Love	American television series
Aldous Huxley	English writer
Adam Smith	Scottish moral philosopher and political economist
Phineas and Ferb	American animated comedy-musical television series
Good Morning America	American morning television show broadcast on ABC
House	American television medical drama
One Tree Hill	American television drama series
Edward Said	Professor of English and literature
Milton Friedman	American economist, statistician, and writer
Mickey's Magical Christmas: Snowed in at the House of Mouse	2001 film by Tony Craig
H. P. Lovecraft	American author
106th United States Congress	No description defined
Ernest Rutherford	New Zealand-born British chemist and physicist
Transformers	media franchise
Supreme Court of the United States	highest court in the United States
The Shield	American drama television series
Downton Abbey	British-American historical period drama television series
Christopher Columbus	Explorer, navigator, and colonizer
Angels in America	2003 HBO miniseries based on the play by the same name
anime	animation produced in Japan
Batman: The Animated Series	Animated series based on the DC comics character
Charles Dickens	English writer and social critic
Bertolt Brecht	German poet, playwright, theatre director
Italo Calvino	Italian journalist and writer of short stories and novels
Star Trek: Enterprise	television series
John Kerry	politician from the United States
Ezra Pound	American Imagist poet and critic
Comic Relief Does Fame Academy	No description defined
Edgar Allan Poe hi	American author, poet, editor and literary critic
Barney Miller	American situation comedy television series
United States Congress	legislature of the United States
Terry Pratchett	English author
First Continental Congress	1774 meeting of delegates from twelve British colonies of what would become the United States
30 Rock	American television comedy series
Howl's Moving Castle	Japanese animated film
Final Fantasy: The Spirits Within	computer-animated film
George Bernard Shaw	Irish playwright
Will & Grace	American sitcom
Leonhard Euler	Swiss mathematician
Raymond Chandler	Novelist, screenwriter
Dan Simmons	American novelist
Arthur Conan Doyle	Scottish physician and author
Carl Sagan	American astrophysicist, cosmologist, author and science educator
Jesus of Nazareth	television miniseries
Max Weber	German sociologist, philosopher, and political economist
110th United States Congress	No description defined
Winston Churchill	Prime Minister of the United Kingdom
108th United States Congress	Wikimedia list article
Associate Justice of the Supreme Court of the United States	member of the U.S. Supreme Court other than the Chief Justice
The Singing Detective	No description defined
Friends	American situation comedy
W. H. Auden	Anglo-American poet
Truman Capote	American author
The Daily Show	US late-night satirical television program
Cormac McCarthy	American novelist, playwright, and screenwriter
Miguel de Cervantes	Spanish novelist, poet, and playwright
The View	television program
Eleanor Roosevelt	American politician, diplomat, and activist, and First Lady of the United States
Robert E. Lee	Confederate general in the Civil War
Murray Rothbard	American economist of the Austrian School, libertarian political theorist, and historian
The Pacific	2010 television series
Joyce Carol Oates	American author
John McCain	politician from the United States
Fred Thompson	American politician and actor
MADtv	1995-2009 American sketch comedy television series
Thomas Edison	American inventor and businessman
Metropolis	2001 anime film
H. H. Asquith	Liberal Prime Minister of the United Kingdom from 1908 to 1916
Plato	Classical Greek philosopher
Lois McMaster Bujold	Science Fiction and fantasy author from the USA
Erwin Rommel	German field marshal of World War II
Carl Friedrich Gauss	German mathematician and physical scientist
Douglas MacArthur	U.S. Army general of the army, field marshal of the Army of the Philippines
Avicenna	medieval Persian polymath, physician, and philosopher
Zachary Taylor	American general and politician, 12th president of the United States (in office from 1849 to 1850)
Game Change	television film
Hill Street Blues	American serial police drama
Roots: The Next Generations	American TV miniseries
Merlin	1998 television miniseries
13th United States Congress	No description defined
14th United States Congress	No description defined
WWE Superstars	WWE television program
Appleseed Ex Machina	2007 Japanese animated CG film and is the sequel to the 2004 Appleseed film, similarly directed by Shinji Aramaki, and was produced by Hong Kong director and producer John Woo
Gerald Ford	American politician, 38th president of the United States (in office from 1974 to 1977)
William Pitt the Younger	British politician
Fullmetal Alchemist the Movie: Conqueror of Shamballa	2005 film by Seiji Mizushima
The Wire, season 3	No description defined
Barack Obama	44th President of the United States of America
Hannah Arendt	Jewish-American political theorist
Doris Lessing	British novelist, poet, playwright, librettist, biographer and short story writer
Alice	American sitcom television series
Nelson Mandela	President of South Africa, anti-apartheid activist
ABC Afterschool Special	No description defined
Jack Kerouac	American writer
Torchwood	British television series and spin-off from Doctor Who
The West Wing	American 1999-2006 television serial drama
